CD,Incumbent,Party,Clinton,Trump,2016Winner,IncumbentRunning
FL-02,"Dunn, Neal",R,30.61,66.2,Romney,Y
FL-03,"Yoho, Ted",R,40.2,56.15,Romney,Y
FL-04,"Rutherford, John",R,34.08,62.1,Romney,Y
FL-05,"Lawson, Al",D,61.27,35.85,Obama,Y
FL-06,"DeSantis, Ron",R,39.88,56.86,Romney,N
FL-07,"Murphy, Stephanie",D,51.39,44.1,Obama,Y
FL-08,"Posey, Bill",R,37.67,58.38,Romney,Y
FL-09,"Soto, Darren",D,54.8,41.89,Obama,Y
FL-10,"Demings, Val",D,61.76,34.87,Obama,Y
FL-11,"Webster, Dan",R,32.47,64.78,Romney,Y
FL-12,"Bilirakis, Gus",R,38.85,57.44,Romney,Y
FL-13,"Crist, Charlie",D,49.59,46.39,Obama,Y
FL-14,"Castor, Kathy",D,57.16,38.98,Obama,Y
FL-15,"Ross, Dennis",R,43.11,53.1,Romney,Y
FL-16,"Buchanan, Vern",R,42.95,53.75,Romney,Y
FL-17,"Rooney, Tom",R,35.02,62.22,Romney,N
FL-18,"Mast, Brian",R,44.07,53.28,Romney,Y
FL-19,"Rooney, Francis",R,37.52,59.58,Romney,Y
FL-20,"Hastings, Alcee",D,80.19,18.09,Obama,Y
FL-21,"Frankel, Lois",D,58.65,39.1,Obama,Y
FL-22,"Deutch, Ted",D,56.76,41.02,Obama,Y
FL-23,"Wasserman Schultz, Debbie",D,61.9,35.81,Obama,Y
FL-24,"Wilson, Frederica",D,82.88,15.39,Obama,Y
FL-25,"Diaz-Balart, Mario",R,47.92,49.68,Romney,Y
FL-26,"Curbelo, Carlos",R,56.79,40.52,Obama,Y
FL-27,"Ros-Lehtinen, Ileana",R,58.52,38.92,Obama,N
GA-01,"Carter, Buddy",R,40.88,56.39,Romney,Y
GA-02,"Bishop, Sanford",D,55,43.27,Obama,Y
GA-03,"Ferguson, Drew",R,32.76,64.33,Romney,Y
GA-04,"Johnson, Hank",D,75.3,22.24,Obama,Y
GA-05,"Lewis, John",D,84.97,11.9,Obama,Y
GA-06,"Handel, Karen",R,46.82,48.31,Romney,Y
GA-07,"Woodall, Rob",R,44.75,51.14,Romney,Y
GA-08,"Scott, Austin",R,34.41,63.35,Romney,Y
GA-09,"Collins, Doug",R,19.34,77.79,Romney,Y
GA-10,"Hice, Jodi",R,35.77,61.27,Romney,Y
GA-11,"Loudermilk, Barry",R,35.33,60.32,Romney,Y
GA-12,"Allen, Rick",R,40.7,56.86,Romney,Y
GA-13,"Scott, David",D,71.02,26.61,Obama,Y
GA-14,"Graves, Tom",R,22.09,74.98,Romney,Y
HI-01,"Hanabusa, Colleen",D,63.07,30.54,Obama,N
HI-02,"Gabbard, Tulsi",D,61.41,29.56,Obama,Y
IA-01,"Blum, Rod",R,45.16,48.71,Obama,Y
IA-02,"Loebsack, David",D,44.95,49.05,Obama,Y
IA-03,"Young, David",R,45.02,48.54,Obama,Y
IA-04,"King, Steve",R,33.54,60.87,Romney,Y
ID-01,"Labrador, Raul",R,25.38,63.68,Romney,N
ID-02,"Simpson, Mike",R,29.79,54.45,Romney,Y
IL-01,"Rush, Bobby",D,75.39,21.45,Obama,Y
IL-02,"Kelly, Robin",D,77.97,19.11,Obama,Y
IL-03,"Lipinski, Dan",D,55.23,39.93,Obama,Y
IL-04,"Gutierrez, Luis",D,82.11,13.25,Obama,N
IL-05,"Quigley, Mike",D,70.53,23.94,Obama,Y
IL-06,"Roskam, Peter",R,50.2,43.22,Romney,Y
IL-07,"Davis, Danny",D,87.41,9.21,Obama,Y
IL-08,"Krishnamoorthi, Raja",D,58.12,36.43,Obama,Y
IL-09,"Schakowsky, Jan",D,70.11,24.87,Obama,Y
IL-10,"Schneider, Brad",D,62.04,32.64,Obama,Y
IL-11,"Foster, Bill",D,58.88,35.44,Obama,Y
IL-12,"Bost, Mike",R,40.15,54.99,Obama,Y
IL-13,"Davis, Rodney",R,44.23,49.69,Romney,Y
IL-14,"Hultgren, Randy",R,44.84,48.73,Romney,Y
IL-15,"Shimkus, John",R,24.52,70.72,Romney,Y
IL-16,"Kinzinger, Adam",R,38.32,55.48,Romney,Y
IL-17,"Bustos, Cheri",D,46.67,47.38,Obama,Y
IL-18,"LaHood, Darin",R,33.26,60.65,Romney,Y
IN-01,"Visclosky, Pete",D,54.07,41.51,Obama,Y
IN-02,"Walorski, Jackie",R,36.06,59.27,Romney,Y
IN-03,"Banks, Jim",R,30.12,65.11,Romney,Y
IN-04,"Rokita, Todd",R,30.18,64.29,Romney,N
IN-05,"Brooks, Susan",R,41.28,53.08,Romney,Y
IN-06,"Messer, Luke",R,27.36,67.7,Romney,N
IN-07,"Carson, Andre",D,59.02,36.18,Obama,Y
IN-08,"Bucshon, Larry",R,30.88,64.6,Romney,Y
IN-09,"Hollingsworth, Trey",R,34.16,61.05,Romney,Y
KS-01,"Marshall, Roger",R,24.32,69.29,Romney,Y
KS-02,"Jenkins, Lynn",R,37.41,55.81,Romney,N
KS-03,"Yoder, Kevin",R,47.22,46.00,Romney,Y
KS-04,"Estes, Ron",R,32.98,60.20,Romney,Y
KY-01,"Comer, James",R,23.91,72.4,Romney,Y
KY-02,"Guthrie, Brett",R,27.6,67.53,Romney,Y
KY-03,"Yarmuth, John",D,54.86,39.91,Obama,Y
KY-04,"Massie, Thomas",R,29.26,65.18,Romney,Y
KY-05,"Rogers, Hal",R,17.47,79.59,Romney,Y
KY-06,"Barr, Andy",R,39.42,54.7,Romney,Y
LA-01,"Scalise, Steve",R,26.70,68.7,Romney,Y
LA-02,"Richmond, Cedric",D,74.61,22.24,Obama,Y
LA-03,"Higgins, Clay",R,29.22,67.35,Romney,Y
LA-04,"Johnson, Mike",R,36.61,60.6,Romney,Y
LA-05,"Abraham, Ralph",R,34.09,63.47,Romney,Y
LA-06,"Graves, Garret",R,31.01,64.81,Romney,Y
MA-01,"Neal, Richard",D,57.18,36.53,Obama,Y
MA-02,"McGovern, Jim",D,56.2,36.83,Obama,Y
MA-03,"Tsongas, Niki",D,58.23,35.39,Obama,N
